રોગ,વર્ણન,લક્ષણો,ઘરેલું ઉપાય,સારવાર
9. હર્બલ ટી - તુલસી, મેરીગોલ્ડ અને કેમોલી ઉમેરીને ચા બનાવો, પછી તેમાં મધ અથવા લીંબુ નાખીને પીવો. દિવસમાં tea- 3-4 વખત આ ચા પીવાથી રાહત મળે છે.","- એક ગ્લાસ પાણીમાં એક ચમચી બેકિંગ સોડા વિસર્જન કર્યા પછી, આ પાણીને સુતરાઉની મદદથી શરીર પર લગાવો. તમને શીતળાથી રાહત મળશે.                                                       - શીતળા દરમિયાન ખંજવાળ ન આવે તે માટે, ઓટમીલને પાણીમાં લો અને નહાવો.
- શીતળા (ચેચક) ને લીધે થતી ખંજવાળ ન થાય તે માટે, અનાજની ટોચ પર કmineલેમિન લોશન લગાવો.
- અસરગ્રસ્ત વિસ્તારમાં દિવસમાં બેથી ત્રણ વાર મધ લગાવો.
- શીતળાને ઝડપથી મટાડવા માટે, ગાજર અને લીલો ધાણા સૂપ પીવો.
- કપાસને ચંદનના તેલમાં પલાળીને અસરગ્રસ્ત સ્થળે લગાવો.
- લીલા વટાણાને ઉકાળીને પેસ્ટ બનાવો, તેને દાણા પર લગાવો, રાહત મળશે.
- એલોવેરાનો તાજો રસ કા Removeીને તેને બીજ પર લગાવો."
ક્રોનિક કોલેસ્ટિસિસ,,,,
સામાન્ય શરદી,,,,
ડેન્ગ્યુ,"ડેન્ગ્યુ એડીસ મચ્છરના કરડવાથી થાય છે. દિવસ દરમિયાન ખાસ કરીને સવારમાં આ મચ્છર કરડે છે. જો દર્દીમાં કોઈ પ્રકારના જટિલ પ્રકારના ડેન્ગ્યુનું લક્ષણ હોય, તો જલદી તેને ડ theક્ટરની પાસે લઈ જાઓ. ડીએચએફ - ડેન્ગ્યુ હેમોરmorજિક ફિવર અને ડીએસએસ (ડીએસએસ - ડેન્ગ્યુ શોક સિન્ડ્રોમ) બે પ્રકારના તાવ ડેન્ગ્યુ છે જેમાં પ્લેટલેટ્સમાં નોંધપાત્ર ઘટાડો થાય છે, જે શરીરના આવશ્યક અંગો પર નોંધપાત્ર અસર કરી શકે છે.","- જો ઘર માં કૂલર હોય તો બે-ત્રણ દિવસ પછી તેનું પાણી બદલી  નાખો.                                                                            - - - બેસિન, ટેન્કરમાં પાણી શુધ્ધ રાખવા માટે, ઘરમાં કલોરિનની બેથી ચાર ગોળીઓ લગાવો.                                                                                   - ઘરની આજુબાજુ અથવા છત પર વરસાદી પાણીનો કચરો ટાયર, નળીઓ, તૂટેલા માટીકામ,ખાલી ડબ્બા વગેરેમાં એકત્રિત ન થવા દો.         - - પાર્કમાં જતાં અથવા મચ્છરના કરડવાનું જોખમ હોય એવી જગ્યાએ જવું હોય ત્યારે કોઈએ આખા સ્લીવ્ડ કપડા પહેરવા જોઈએ જેથી મચ્છરો ડંખ ન લગાવે.                                                                                                                                                  - - મચ્છરોથી બચવા માટે ક્રીમ, મચ્છરદાની અને અન્ય પગલાં લેવા જોઈએ.                                                ","- કોથમીરના પાનનો રસ પીવાથી ડેન્ગ્યુના તાવમાં રાહત મળે છે. તેનાથી તાવ ઓછો થાય છે.                              - આમળામાં વિટામિન સી વધુ પ્રમાણમાં હોય છે, જે શરીરની શોષણ કરવાની ક્ષમતામાં વધારો કરે છે. આનાથી શરીર વધુ આયર્ન ગ્રહણ કરી શકે છે, જે ડેન્ગ્યુ તાવ મટાડવા માટે જરૂરી છે.                                                        - તુલસીના પાનને ગરમ પાણીમાં ઉકાળો અને ગાળી લો, દર્દીને પીવા દો. તુલસીની આ ચા ડેન્ગ્યુના દર્દીને અપાર રાહત આપે છે. આ ચા દિવસમાં ત્રણથી ચાર વખત લઈ શકાય છે.                                                                 - ડેંગ્યુ તાવ માટે પપૈયાના પાન સૌથી અસરકારક દવા હોવાનું કહેવામાં આવે છે. પપૈયાના પાંદડામાં હાજર પાપૈન એન્ઝાઇમ્સ શરીરની પાચક શક્તિને ઠીક કરે છે, સાથે સાથે શરીરમાં રહેલા પ્રોટીનને વિસર્જન કરે છે.                   - વિટામિન સીથી સમૃદ્ધ, નારંગી પાચક શક્તિને પ્રોત્સાહન આપવાની સાથે શરીરની પ્રતિરક્ષામાં વધારો કરે છે. આવી સ્થિતિમાં ડેન્ગ્યુના દર્દીએ જલદીથી નારંગીનો રસ પીવો જોઈએ.                                                                                                        વિટામિન સીથી સમૃદ્ધ, નારંગી પાચક શક્તિને પ્રોત્સાહન આપવાની સાથે શરીરની પ્રતિરક્ષામાં વધારો કરે છે. આવી સ્થિતિમાં ડેન્ગ્યુના દર્દીએ જલદીથી નારંગીનો રસ પીવો જોઈએ.","ડેન્ગ્યુથી બચવા માટેની શ્રેષ્ઠ રીત ગંદકીના સંચયથી બચવું છે. જો સ્ત્રી એડીસ મચ્છર વધે તો ડેન્ગ્યુ થવાની સંભાવના પણ ઘણી ઓછી થાય છે. ડેન્ગ્યુના કિસ્સામાં નીચેના પગલા લેવા જોઈએ:""                                                                                            - ઘરે ઘરે જ ડેન્ગ્યુના તાવની સારવાર કરી શકાય છે. દર્દીને સંપૂર્ણ આરામ કરવાની મંજૂરી આપો. તેને દર છ કલાકે પેરાસીટામોલ આપો અને પાણી અને પ્રવાહી વસ્તુઓ (લીંબુ પાણી, છાશ, નાળિયેર પાણી વગેરે) પીવો.                                                                - બાળકોની વિશેષ કાળજી લેવી.
- તાવ ઓછો થયા પછી પણ, દર બે દિવસમાં એકવાર પ્લેટલેટ કાઉન્ટ ટેસ્ટ કરો. ડેન્ગ્યુમાં, દર્દીના બ્લડ પ્રેશર, ખાસ કરીને ઉપલા અને નીચલા બ્લડ પ્રેશર તફાવત (દિવસમાં 3-4 વખત) ની સતત દેખરેખ રાખવી મહત્વપૂર્ણ છે. જો બે બ્લડ પ્રેશર વચ્ચેનો તફાવત 20 ડિગ્રી અથવા તેથી ઓછું આવે છે, તો પરિસ્થિતિ જોખમી બની શકે છે. લોહીનું દબાણ ઘટીને દર્દી બેભાન થઈ શકે છે.                                                                                - બાળકો નાજુક હોય છે અને તેમની રોગપ્રતિકારક શક્તિ નબળી હોય છે, તેથી રોગ તેમને ઝડપથી પકડે છે. આવી સ્થિતિમાં, તેમની માંદગીને અવગણશો નહીં.
- બાળકો ખુલ્લામાં વધુ રહે છે, તેથી ચેપ અને મચ્છરથી કરડવાથી વધુ જોખમ રહે છે.
- સંપૂર્ણ કપડાં પહેરેલા બાળકોને ઘરની બહાર મોકલો.                                           - સામાન્ય રીતે, જ્યારે બાળકોને તાવ આવે છે, ત્યારે તેમના પગ અને પગ ઠંડા રહે છે, પરંતુ તેમના કપાળ અને પેટ ગરમ છે, તેથી તેમના તાવને તેમના પેટને સ્પર્શ કરીને અને ગુદામાર્ગનું તાપમાન લેવામાં આવે છે. બાજુથી તાપમાન લેવું એ યોગ્ય રીત નથી, ખાસ કરીને બાળકોમાં. જો તાપમાન બાજુથી લેવું હોય, તો પછી આવતા વાંચનમાં 1 ડિગ્રી ઉમેરો. તે યોગ્ય વાંચન માનવામાં આવશે.
- જો બાળકને ડેન્ગ્યુ થાય છે, તો તેને હોસ્પિટલમાં સારવાર અપાવવી જોઈએ કારણ કે બાળકોમાં પ્લેટલેટ ઝડપથી પડી જાય છે અને તેઓને ઝડપથી ડિહાઇડ્રેશન (પાણીનો અભાવ) પણ થાય છે."
ડાયાબિટીસ,"મધુપ્રમેહ અથવા મધુપ્રમેહ એ તાજેતરના વર્ષોમાં જીવનશૈલીનો સૌથી ખતરનાક રોગ માનવામાં આવે છે. દર વર્ષે કેટલાક હજાર લોકો તેનાથી પ્રભાવિત થાય છે. આવો, મધુપ્રમેહ વિશે જાણો, જેને સામાન્ય રીતે સુગર કી બિમારી તરીકે પણ ઓળખવામાં આવે છે.",,,"-મધુપ્રમેહથી બચવા માટેની શ્રેષ્ઠ રીત એ છે કે તેના વિશે જાગૃત રહેવું અને તંદુરસ્ત જીવનશૈલી અપનાવી છે. મધુપ્રમેહથી બચવા માટેના કેટલાક ખાણ ઉપાય આ છે:
- દરરોજ એક કલાકની કસરત કરો.
- તમારા ઘરે દરરોજ મધુપ્રમેહની કસોટી. લોહીમાં ખાંડની માત્રાની કાળજી લો.
- ઇન્સ્યુલિન ઇન્જેશન તૈયાર કરવું જોઈએ અને જાતે જ લાગુ કરવું જોઈએ.
- ઇન્સ્યુલિન પમ્પ મૂકવો.
- કાર્બોહાઇડ્રેટ ગણતરી ધ્યાનમાં લેવામાં આવશે.
- બ્લડ પ્રેશર ઓછું હોય ત્યારે મહત્વપૂર્ણ માહિતીનું ધ્યાન રાખો"
ડિમોર્ફિક હેમોરહોઇડ્સ (થાંભલાઓ),,,,
ડ્રગ રિએક્શન,,,,
ફંગલ ચેપ,,,,
ગેસ્ટ્રોએસોફેજલ રિફ્લક્સ રોગ,,,,
ગેસ્ટ્રોએન્ટેરાઇટિસ,,,,
હદય રોગ નો હુમલો,,,,
હીપેટાઇટિસ બી,,,,
હીપેટાઇટિસ સી,,,,
હીપેટાઇટિસ ડી,,,,
હીપેટાઇટિસ ઇ,,,,
હાયપરટેન્શન,,,,
હાયપરથાઇરોઇડિઝમ,,,,
હાઈપોગ્લાયકેમિઆ,,,,
હાયપોથાઇરોડ,"હાયપોથાઇરોડ એ મેટાબોલિક ડિસઓર્ડર છે. થાઇરોઇડ ગ્રંથિના કાર્યના તમામ પાસાઓ, જેમ કે ટીએસએચ હોર્મોન, આયોડિનને થાઇરોઇડ હોર્મોનમાં રૂપાંતરિત કરવા માટે ગ્રંથિમાં આયોડિનના ઉત્પાદનને અસર કરે છે, અને હોર્મોન્સનું ઉત્પાદન અને લોહીના પરિભ્રમણમાં તેના પ્રવાહને અસર કરે છે. મૂળરૂપે આ રોગ ખોરાક અને જીવનશૈલીથી સંબંધિત છે.",આપણી જીવનશૈલી હાયપોથાઇરોડનું મુખ્ય કારણ માનવામાં આવે છે. બેઠાડુ જીવનશૈલી અને જંક ફૂડનો વધુ પડતો ઉપયોગ મોટાભાગના ડોકટરો દ્વારા માનવામાં આવે છે.,"- નાળિયેર તેલમાં આવશ્યક ફેટી એસિડ હોય છે, જે થાઇરોઇડને નિયંત્રણમાં રાખે છે. સારવાર માટે, દૈનિક ભોજનમાં નાળિયેર તેલનો ઉપયોગ કરો. શક્ય હોય તો દરરોજ એક ગ્લાસ દૂધ નાળિયેર તેલમાં મિક્સ કરો.                      - થાઇરોઇડની સમસ્યાનો સામનો કરવા માટે વિટામિન ડી ખૂબ મહત્વનું છે. આ માટે દરરોજ ઓછામાં ઓછી 15 મિનિટ તડકામાં બેસો. આનાથી શરીરમાં કેલ્શિયમનું પ્રમાણ પણ વધે છે.                                                  - કાળો અખરોટ એ આયોડિન અને મેંગેનીઝ જેવા ખનિજોના ઉચ્ચ સ્ત્રોત છે. આ ખનિજ થાઇરોઇડ ગ્રંથિને યોગ્ય રીતે કાર્ય કરવા પ્રેરે છે. કાળા અખરોટ પણ દરરોજ ખાઈ શકાય છે.                                                         - હાઇ કેલરી ફૂડ ટાળો","હાઇપો થાઇરોઇડથી બચવા માટે સૌથી મહત્વપૂર્ણ એ છે કે તંદુરસ્ત અને કાર્યાત્મક જીવનશૈલી અપનાવી. આ સાથે, નીચે આપેલા મુદ્દાઓને ધ્યાનમાં રાખવું પણ મહત્વપૂર્ણ છે:                - વ્યાયામ: દરરોજ એક કલાક માટે કોઈપણ પ્રકારની કસરત પ્રકાશ અથવા ઝડપી કરો.    - જો હાયપોથાઇર ofઇડના કોઈ લક્ષણો જોવા મળે છે, તો રક્ત પરીક્ષણ તરત જ થવું જોઈએ અને ડ doctorક્ટરની સલાહથી, હાયપોથાઇર medicineઇડ દવા શરૂ કરવી જોઈએ."
ઇમ્પેટીગો,,,,
કમળો (પીળો તાવ),"પીળો તાવ એ એક ઝડપી ચેપી તાવ છે જે અચાનક શરૂ થાય છે. આ રોગનું કારણ એક માઇક્રોબાયલ વાયરસ છે, જે એડીસ ઇજીપ્ટી જાતિના મચ્છર દ્વારા ફેલાય છે."," પીળો તાવ(કમળો) ના કારણો
- આંદ્ર, બ્લડ દસ્તાવેજ, બ્લડ્ર्राટ્રવ, પિત્તિત મૂત્ર, રક્તચાપની ઓછી અને નારીની શિથિલતા,
- નિશ્ચિતતા હોવું
- કોફીની રંગની મિતલી આના,
- ઝુક સ્થિતિમાં મૂત્ર આના બંધ હોવું.
- ઠંડકની સાથે બુખાર આના,
- પિલિયા જાઓ,
- શરીરમાં પીડા હોવું
- સીર પીડા","પીળો તાવ એ પીળા તાવના ચેપને લીધે થતો ખતરનાક રોગ છે, પરંતુ તેના માટે ઘણા ઉપાયો છે જે તેને નિયંત્રિત કરી શકે છે. પીળો તાવ અથવા પીળો તાવ સ્ત્રી મચ્છરના કરડવાથી થાય છે. પીળા તાવમાં, દર્દીને યકૃતને નુકસાન અથવા કમળો થવાનું જોખમ રહેલું છે. ઉપરાંત, દર્દીને omલટી થઈ શકે છે. પીળા તાવથી છૂટકારો મેળવવાના ઘણા ઘરેલું ઉપાય છે, જેથી તેનો કુદરતી રીતે ઉપચાર થઈ શકે.
1. તુલસીનો છોડ અને કાળા મરી (Basil and Black Pepper)
મરી પીળા તાવની સારવારમાં ખૂબ અસરકારક સાબિત થઈ રહી છે.અડધા લિટર નિસ્યંદિત પાણીમાં તુલસીના કેટલાક પાન મૂકો અને ઉકળવા દો. આ પાણીમાં અડધી ચમચી કાળા મરીનો પાઉડર નાખો. જ્યાં સુધી તે રંગ બદલાતો ન હોય ત્યાં સુધી આ પાણીને ઉકળવા દો. આ પાણી પીળા તાવને જ ઓછું કરે છે પરંતુ ત્વરિત antર્જા પણ આપે છે. આ પાણીમાં ત્રણ ચમચી મધ પણ ઉમેરી શકાય છે. દિવસમાં બે વાર પીવો.
2. ડુંગળી (Onion)
કાચી ડુંગળી લો અને બે કાપી લો. તેને પકાવવાની નાની ભઠ્ઠીમાં મૂકો અને તેને લગભગ 15 મિનિટ માટે 400 ડિગ્રી પર બેક કરો. આમ કરવાથી ડુંગળીનો રસ સરળતાથી દૂર થઈ જાય છે. આ રસમાં થોડા ટીપાં મધ નાખો. પીળા તાવથી છૂટકારો મેળવવા માટે આ મિત્રનો ઉપયોગ કરો.
3. લસણ (Garlic)
ડિહાઇડ્રેશન વારંવાર ઉલટી થવાના કારણે થાય છે, જે સામાન્ય રીતે શરીરને નબળા બનાવે છે અને શરીરની પ્રતિરક્ષા ઘટાડે છે. લસણ એન્ટી વાઇરલ, એન્ટી બેક્ટેરિયલ અને એન્ટી ઓક્સિડેન્ટ ગુણધર્મો માટે જાણીતું છે. લસણ રોગપ્રતિકારક શક્તિને મજબૂત બનાવવા તેમજ શરીરને વાયરલ અને બેક્ટેરિયલ ચેપથી સુરક્ષિત કરવામાં સક્રિય ભૂમિકા ભજવે છે. છથી દસ લસણની લવિંગ લો અને તેમને ભૂકો કરો. તમે આ લસણને આની જેમ ખાઈ શકો નહીં તો મધ ઉમેરીને સવારે ખાઈ શકો છો.
4. નાળિયેર પાણી (Coconut water)
પીળા તાવમાં ડિહાઇડ્રેશનથી બચવા માટે નાળિયેર પાણી ખૂબ ફાયદાકારક છે. તે શરીરને હાઇડ્રેટ કરે છે અને અન્ય પોષક તત્ત્વો પૂરા પાડે છે. દિવસમાં ઓછામાં ઓછા ત્રણથી ચાર વખત નાળિયેર પીવો.
5. શેરડીનો રસ (Sugarcane Juice)
ડિહાઇડ્રેશન એ પીળા તાવનું સૌથી જોખમી લક્ષણ છે. આવી સ્થિતિમાં શેરડીનો રસ નબળા શરીરને શક્તિ આપે છે. શેરડીનો રસ નિર્જલીકૃત શરીર માટે જરૂરી વિટામિન અને ખનિજો પૂરા પાડી શકે છે. શેરડીનો રસ શરીરના સ્નાયુઓને ગ્લુકોઝ પૂરો પાડે છે. શેરડીનો રસ શરીરમાં જરૂરી પ્રોટીનની ઉણપને પૂરી કરવા માટે દિવસમાં ત્રણ વખત ઉપયોગ કરી શકે છે.
6. જવ પાણી અથવા જૌ કા પાની (Barley Water or Jau ka pani)
જવ આખું અનાજ છે જેમાં સ્વસ્થ જીવનશૈલી માટે તમામ જરૂરી પોષક તત્વો હોય છે. જવમાં વિટામિન બી 1, બી 2, બી 5, 9 અને વિટામિન ઇ હોય છે. તે પીળા તાવથી પીડાતા દર્દીના બળતરા અને શરીરના ઉચ્ચ તાપમાનને ઘટાડે છે. દિવસમાં ત્રણ વખત જવનું પાણી પીવાથી પીળા તાવમાં રાહત મળે છે.
7. લીંબુ અને મીઠું (Lemon and Salt)
પીળા તાવથી પીડિત વ્યક્તિને ડિહાઇડ્રેશનની સમસ્યા થાય છે. આવી સ્થિતિમાં વ્યક્તિ વધુ થાક અનુભવે છે. એક ગ્લાસ પાણીમાં લીંબુના રસના થોડા ટીપાં પીવાથી પીળા તાવમાં રાહત મળે છે. આ લીંબુના પાણીમાં એક ચપટી મીઠું નાખો. આ પાણી ડિહાઇડ્રેશનની અભાવને પરિપૂર્ણ કરે છે અને દર્દીને તાકાત આપે છે.",
મેલેરિયા,દર વર્ષે ઘણા લોકો મલેરિયા તાવના કારણે પોતાનો જીવ ગુમાવે છે. ગંદા પાણીમાં ઉછરેલા મચ્છરોના કરડવાથી રોગ વિશેની માહિતી ખૂબ અસરકારક છે.,- સમયસર પીવાના પાણીમાં ફેરફાર ન કરો.                                                                                                              - વસવાટ કરો છો વિસ્તારની આસપાસ ગંદકી.                                                                                                           - જળ સંચય.                                                                                                                                                - મચ્છર ઇંડા એકઠા,- લીંબુનો રસ ગરમ પાણી સાથે પીવાથી તાવની તીવ્રતા ઓછી થાય છે.                                                      - તાવ ન આવે ત્યારે તુલસીના પાંદડાના 10 ગ્રામના રસમાં અડધી ચમચી કાળા મરીનો પાઉડર ચાટવો. તેનાથી મેલેરિયા તાવ સમાપ્ત થાય છે.                                                                                                           - એક ગ્લાસ પાણીમાં 10 ગ્રામ આદુ અને 10 ગ્રામ સુકા દ્રાક્ષ નાખો અને તેને અડધા સુધી ઉકાળો. ઠંડુ થાય ત્યારે પીવો.,"- હરિતદ્રવ્ય- મેલેરિયામાં એન્ટિ મેલેરિયલ દવા આપવામાં આવે છે. આ દવાઓને આડઅસર થઈ શકે છે, તેથી ડ doctorક્ટરની સલાહ લીધા વગર તેને ન લો.                             -  દર્દીને સંપૂર્ણ આરામ કરવાની મંજૂરી આપો. દર છ કલાકે તેને મેલેરિયામાં પેરાસીટામોલ આપો અને પાણી અને પ્રવાહી વસ્તુઓ (લીંબુ પાણી, છાશ, નાળિયેર પાણી વગેરે) પીવો.
મેલેરિયા તાવ દરમિયાન બાળકોની વિશેષ કાળજી લો.
- બાળકો નાજુક હોય છે અને તેમની રોગપ્રતિકારક શક્તિ નબળી હોય છે, તેથી રોગ તેમને ઝડપથી પકડે છે. આવી સ્થિતિમાં, તેમની માંદગીને અવગણશો નહીં.                              - બાળકોને મચ્છરની સીઝનમાં શોર્ટ્સ અને ટી-શર્ટ ન પહેરશો.
- રાત્રે મચ્છર નિવારક ક્રીમ લગાવો."
,,,,
અસ્થિવા,,,,
લકવો (મગજ હેમરેજ),,,,
પેપ્ટીક અલ્સર ડીઆઈ,,,,
ન્યુમોનિયા,આપણા દેશમાં એક રોગથી ન્યુમોનિયાથી જેટલા મોત નથી થયા. ન્યુમોનિયાની રોકથામ અને સારવાર ખૂબ highlyક્સેસિબલ છે પરંતુ ઘણીવાર લોકો પાસે તેની માહિતી હોતી નથી. ન્યુમોનિયા વિશેની બધી બાબતો જાણો.,"- બેક્ટેરિયા
- વાયરસ
- ફૂગ
આ ઉપરાંત, કેટલાક રસાયણો અને ફેફસાની ઇજાને કારણે ન્યુમોનિયા પણ થાય છે.","અન્ય કોઈ રોગની તુલનામાં ન્યુમોનિયા (Pneumonia) એ મૃત્યુનું મુખ્ય કારણ છે.
ન્યુમોનિયા મૂળભૂત રીતે ફેફસામાં (Lungs) ચેપને કારણે થાય છે.
પહેલેથી જ બીમાર લોકોની રોગપ્રતિકારક શક્તિ (Immune System) પહેલાથી જ નબળી છે, તેથી તેઓ તંદુરસ્ત લોકો કરતા ન્યુમોનિયા થવાની સંભાવના વધારે છે.
ન્યુમોનિયા માટે ઘરેલું ઉપાય (Home Remedies For Pneumonia)
- હળદર, કાળા મરી, મેથી અને આદુ જેવા દૈનિક ઉપયોગના ખોરાક ફેફસાં માટે ફાયદાકારક છે.
- તલ બીજ ન્યુમોનિયાના ઉપચારમાં પણ મદદગાર છે. 300 ગ્રામ પાણીમાં 15 ગ્રામ તલ, એક ચમચી સામાન્ય મીઠું, એક ચમચી
- દરરોજ અળસી અને એક ચમચી મધનો ઉપયોગ કરવાથી ફેફસામાંથી કફ આવે છે.
- આદુનો તાજો રસ કે ચૂસવાથી પણ ન્યુમોનિયામાં રાહત મળે છે.
- થોડું નવશેકું પાણી સાથે મધ લેવાથી ફાયદો થાય છે.
